,time,on/off,cpu,mem,hdd
13751,381,0,0,0.0,0
13787,382,0,0,0.0,0
13823,383,0,0,0.0,0
13859,384,0,0,0.0,0
13895,385,0,0,0.0,0
13931,386,0,0,0.0,0
13967,387,0,0,0.0,0
14003,388,0,0,0.0,0
14039,389,0,0,0.0,0
14075,390,0,0,0.0,0
14111,391,0,0,0.0,0
14147,392,0,0,0.0,0
14183,393,0,0,0.0,0
14219,394,0,0,0.0,0
14255,395,0,0,0.0,0
14291,396,0,0,0.0,0
14327,397,0,0,0.0,0
14363,398,0,0,0.0,0
14399,399,0,0,0.0,0
14435,400,0,0,0.0,0
14471,401,0,0,0.0,0
14507,402,0,0,0.0,0
14543,403,0,0,0.0,0
14579,404,0,0,0.0,0
14615,405,0,0,0.0,0
14651,406,0,0,0.0,0
14687,407,0,0,0.0,0
14723,408,0,0,0.0,0
14759,409,0,0,0.0,0
14795,410,0,0,0.0,0
14831,411,0,0,0.0,0
14867,412,0,0,0.0,0
14903,413,0,0,0.0,0
14939,414,0,0,0.0,0
14975,415,0,0,0.0,0
15011,416,0,0,0.0,0
15047,417,0,0,0.0,0
15083,418,0,0,0.0,0
15119,419,0,0,0.0,0
15155,420,0,0,0.0,0
15191,421,0,0,0.0,0
15227,422,0,0,0.0,0
15263,423,0,0,0.0,0
15299,424,0,0,0.0,0
15335,425,0,0,0.0,0
15371,426,0,0,0.0,0
15407,427,0,0,0.0,0
15443,428,0,0,0.0,0
15479,429,0,0,0.0,0
15515,430,0,0,0.0,0
15551,431,0,0,0.0,0
15587,432,0,0,0.0,0
15623,433,0,0,0.0,0
15659,434,0,0,0.0,0
15695,435,0,0,0.0,0
15731,436,0,0,0.0,0
15767,437,0,0,0.0,0
15803,438,0,0,0.0,0
15839,439,0,0,0.0,0
15875,440,0,0,0.0,0
15911,441,0,0,0.0,0
15947,442,0,0,0.0,0
15983,443,0,0,0.0,0
16019,444,0,0,0.0,0
16055,445,0,0,0.0,0
16091,446,0,0,0.0,0
16127,447,0,0,0.0,0
16163,448,0,0,0.0,0
16199,449,0,0,0.0,0
16235,450,0,0,0.0,0
16271,451,0,0,0.0,0
16307,452,0,0,0.0,0
16343,453,0,0,0.0,0
16379,454,0,0,0.0,0
16415,455,0,0,0.0,0
16451,456,0,0,0.0,0
16487,457,0,0,0.0,0
16523,458,0,0,0.0,0
16559,459,0,0,0.0,0
16595,460,0,0,0.0,0
16631,461,0,0,0.0,0
16667,462,0,0,0.0,0
16703,463,0,0,0.0,0
16739,464,0,0,0.0,0
16775,465,0,0,0.0,0
16811,466,0,0,0.0,0
16847,467,0,0,0.0,0
16883,468,0,0,0.0,0
16919,469,0,0,0.0,0
16955,470,0,0,0.0,0
16991,471,0,0,0.0,0
17027,472,0,0,0.0,0
17063,473,0,0,0.0,0
17099,474,0,0,0.0,0
17135,475,0,0,0.0,0
17171,476,0,0,0.0,0
17207,477,0,0,0.0,0
17243,478,0,0,0.0,0
17279,479,0,0,0.0,0
17315,480,0,0,0.0,0
17351,481,0,0,0.0,0
17387,482,0,0,0.0,0
17423,483,0,0,0.0,0
17459,484,0,0,0.0,0
17495,485,0,0,0.0,0
17531,486,0,0,0.0,0
17567,487,0,0,0.0,0
17603,488,0,0,0.0,0
17639,489,0,0,0.0,0
17675,490,0,0,0.0,0
17711,491,0,0,0.0,0
17747,492,0,0,0.0,0
17783,493,0,0,0.0,0
17819,494,0,0,0.0,0
17855,495,0,0,0.0,0
17891,496,0,0,0.0,0
17927,497,0,0,0.0,0
17963,498,0,0,0.0,0
17999,499,0,0,0.0,0
18035,500,0,0,0.0,0
18071,501,0,0,0.0,0
18107,502,0,0,0.0,0
18143,503,0,0,0.0,0
18179,504,0,0,0.0,0
18215,505,0,0,0.0,0
18251,506,0,0,0.0,0
18287,507,0,0,0.0,0
18323,508,0,0,0.0,0
18359,509,0,0,0.0,0
18395,510,0,0,0.0,0
18431,511,0,0,0.0,0
18467,512,0,0,0.0,0
18503,513,0,0,0.0,0
18539,514,0,0,0.0,0
18575,515,0,0,0.0,0
18611,516,0,0,0.0,0
18647,517,0,0,0.0,0
18683,518,0,0,0.0,0
18719,519,0,0,0.0,0
18755,520,0,0,0.0,0
18791,521,0,0,0.0,0
18827,522,0,0,0.0,0
18863,523,0,0,0.0,0
18899,524,0,0,0.0,0
18935,525,0,0,0.0,0
18971,526,0,0,0.0,0
19007,527,0,0,0.0,0
19043,528,0,0,0.0,0
19079,529,0,0,0.0,0
19115,530,0,0,0.0,0
19151,531,0,0,0.0,0
19187,532,0,0,0.0,0
19223,533,0,0,0.0,0
19259,534,0,0,0.0,0
19295,535,0,0,0.0,0
19331,536,0,0,0.0,0
19367,537,0,0,0.0,0
19403,538,0,0,0.0,0
19439,539,0,0,0.0,0
19475,540,0,0,0.0,0
19511,541,0,0,0.0,0
19547,542,0,0,0.0,0
19583,543,0,0,0.0,0
19619,544,0,0,0.0,0
19655,545,0,0,0.0,0
19691,546,0,0,0.0,0
19727,547,0,0,0.0,0
19763,548,0,0,0.0,0
19799,549,0,0,0.0,0
19835,550,0,0,0.0,0
19871,551,0,0,0.0,0
19907,552,0,0,0.0,0
19943,553,0,0,0.0,0
19979,554,0,0,0.0,0
20015,555,0,0,0.0,0
20051,556,0,0,0.0,0
20087,557,0,0,0.0,0
20123,558,0,0,0.0,0
20159,559,0,0,0.0,0
20195,560,0,0,0.0,0
20231,561,0,0,0.0,0
20267,562,0,0,0.0,0
20303,563,0,0,0.0,0
20339,564,0,0,0.0,0
20375,565,0,0,0.0,0
20411,566,0,0,0.0,0
20447,567,0,0,0.0,0
